Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
Fiat fiorino 2018 200 km,24 DT,Fiat,FIORINO,200.0,1.2018,Diesel,Manuelle,,95.0,Traction,Utilitaire,,,TND Nabeul,,,,2.0,2.0,1600.0,"A vendre voiture commercial fiat fiorino NdhifaSerie :202Année :2018200kmPrix :24télé: 56048830Voir plus, A vendre voiture commercial fiat fiorino NdhifaSerie :202Année :2018200kmPrix :24télé: 56048830Voir plus, A vendre voiture commercial fiat fiorino NdhifaSerie :202Année :2018200kmPrix :24télé: 56048830, A vendre voiture commercial fiat fiorino NdhifaSerie :202Année :2018200kmPrix :24télé: 56048830, Voir plus",07.02.2026,https://baniola.tn/details/26769/fiat-fiorino-2018-200-km.html
Ford fiesta titanium 2,232800 DT,Ford,FIESTA,198000.0,1.2014,Essence,,5.0,80.0,Traction,Citadine,,,TND Négociable Échange possible Ariana,,,,5.0,4.0,1000.0,"A Vendre FORD FIESTA Titanium Phase 2 Essence 4cy 5cv très économique,en tres bonne etat , tres bien entretenu,vitres d’origine, jamais accidentée,toute est fonctionnelCouleur : Bleu cielModel : 2014PRIX    : 32.800dtOPTIONS- Climatronique- jante alu- retroviseurs electriques- vitres electriques- volant multifonctions- kit Main libre.- fermeture centralisée- prise audio usb- telephone bluetooth…Voir plus, A Vendre FORD FIESTA Titanium Phase 2 Essence 4cy 5cv très économique,en tres bonne etat , tres bien entretenu,vitres d’origine, jamais accidentée,toute est fonctionnelCouleur : Bleu cielModel : 2014PRIX    : 32.800dtOPTIONS- Climatronique- jante alu- retroviseurs electriques- vitres electriques- volant multifonctions- kit Main libre.- fermeture centralisée- prise audio usb- telephone bluetooth…Voir plus, A Vendre FORD FIESTA Titanium Phase 2 Essence 4cy 5cv très économique,en tres bonne etat , tres bien entretenu,vitres d’origine, jamais accidentée,toute est fonctionnelCouleur : Bleu cielModel : 2014PRIX    : 32.800dtOPTIONS- Climatronique- jante alu- retroviseurs electriques- vitres electriques- volant multifonctions- kit Main libre.- fermeture centralisée- prise audio usb- telephone bluetooth…, A Vendre FORD FIESTA Titanium Phase 2 Essence 4cy 5cv très économique,en tres bonne etat , tres bien entretenu,vitres d’origine, jamais accidentée,toute est fonctionnelCouleur : Bleu cielModel : 2014PRIX    : 32.800dtOPTIONS- Climatronique- jante alu- retroviseurs electriques- vitres electriques- volant multifonctions- kit Main libre.- fermeture centralisée- prise audio usb- telephone bluetooth…, Voir plus",05.03.2026,https://baniola.tn/details/27093/ford-fiesta-titanium-2.html
Suzuki dzair première main en très bon état,39500 DT,Suzuki,Swift,70000.0,1.2023,Essence,Manuelle,,90.0,Traction,Citadine,,,occasion Suzuki Swift Suzuki dzair premiÈre main en trÈs bon État Suzuki dzair première main en très bon état Prix non spécifié Ariana,,,,5.0,5.0,1200.0,"50648069VOITURE SUZUKI DZAIR 5 CV ESSENCE4 CYLINDRES  BOÎTE MANUELLEPREMIÈRE MAIN TRÈS PROPREVOITURE A L&amp;#039;ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&amp;#039;ORIGINE TOUTE OPTION4 VITRES ÉLECTRIQUESRÉTROVISEURS ÉLECTRIQUES ETRABATTABLES ÉLECTRIQUEMENTFERMETURE CENTRALISÉEBLOO TOUTHCONNECTIVITÉ AUXANTI BROUILLARDJANTES EN ALUMINIUMVISIBLE A BIZERTE ZARZOUNAVoir plus, 50648069VOITURE SUZUKI DZAIR 5 CV ESSENCE4 CYLINDRES  BOÎTE MANUELLEPREMIÈRE MAIN TRÈS PROPREVOITURE A L&amp;#039;ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&amp;#039;ORIGINE TOUTE OPTION4 VITRES ÉLECTRIQUESRÉTROVISEURS ÉLECTRIQUES ETRABATTABLES ÉLECTRIQUEMENTFERMETURE CENTRALISÉEBLOO TOUTHCONNECTIVITÉ AUXANTI BROUILLARDJANTES EN ALUMINIUMVISIBLE A BIZERTE ZARZOUNAVoir plus, 50648069VOITURE SUZUKI DZAIR 5 CV ESSENCE4 CYLINDRES  BOÎTE MANUELLEPREMIÈRE MAIN TRÈS PROPREVOITURE A L&amp;#039;ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&amp;#039;ORIGINE TOUTE OPTION4 VITRES ÉLECTRIQUESRÉTROVISEURS ÉLECTRIQUES ETRABATTABLES ÉLECTRIQUEMENTFERMETURE CENTRALISÉEBLOO TOUTHCONNECTIVITÉ AUXANTI BROUILLARDJANTES EN ALUMINIUMVISIBLE A BIZERTE ZARZOUNA, 50648069VOITURE SUZUKI DZAIR 5 CV ESSENCE4 CYLINDRES  BOÎTE MANUELLEPREMIÈRE MAIN TRÈS PROPREVOITURE A L&amp;#039;ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&amp;#039;ORIGINE TOUTE OPTION4 VITRES ÉLECTRIQUESRÉTROVISEURS ÉLECTRIQUES ETRABATTABLES ÉLECTRIQUEMENTFERMETURE CENTRALISÉEBLOO TOUTHCONNECTIVITÉ AUXANTI BROUILLARDJANTES EN ALUMINIUMVISIBLE A BIZERTE ZARZOUNA, Voir plus",15.02.2026,https://baniola.tn/details/26912/suzuki-dzair-première-main-en-très-bon-état.html
Kia rio prestige première main en état neuf,24000 DT,Kia,RIO,68000.0,1.2023,Essence,Manuelle,5.0,73.0,Traction,Citadine,,,occasion Kia Rio Kia rio prestige premiÈre main en État neuf Kia rio prestige première main en état neuf Prix non spécifié Bizerte,,,,5.0,5.0,998.0,"CONTACT ::::::::: 29521077KIA RIO PRESTIGE PREMIÈRE MAINEN TRÈS BON ÉTATVOITURE A L&amp;#039;ÉTAT ORIGINEJAMAIS TOUCHÉECAMÉRA DE STATIONNEMENT ARRIÈREÉCRAN CENTRAL4 VITRES ÉLECTRIQUESINTÉRIEUR CUIRCLIMATISEUR CLIMATRONIC ENFONCTIONENCADREMENT EXTÉRIEUR INOXFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBREJANTES EN ALUMINIUMVOLANT RÉGLABLE EN HAUTEUR ET ENPROFONDEURCONNECTIVITÉ AUXCOMMANDE AU VOLANTFINITION CHROMÉEALARMEFIXATION ISOFIX5 CV. 4 CYLINDRESVISIBLE A BIZERTEVoir plus, CONTACT ::::::::: 29521077KIA RIO PRESTIGE PREMIÈRE MAINEN TRÈS BON ÉTATVOITURE A L&amp;#039;ÉTAT ORIGINEJAMAIS TOUCHÉECAMÉRA DE STATIONNEMENT ARRIÈREÉCRAN CENTRAL4 VITRES ÉLECTRIQUESINTÉRIEUR CUIRCLIMATISEUR CLIMATRONIC ENFONCTIONENCADREMENT EXTÉRIEUR INOXFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBREJANTES EN ALUMINIUMVOLANT RÉGLABLE EN HAUTEUR ET ENPROFONDEURCONNECTIVITÉ AUXCOMMANDE AU VOLANTFINITION CHROMÉEALARMEFIXATION ISOFIX5 CV. 4 CYLINDRESVISIBLE A BIZERTEVoir plus, CONTACT ::::::::: 29521077KIA RIO PRESTIGE PREMIÈRE MAINEN TRÈS BON ÉTATVOITURE A L&amp;#039;ÉTAT ORIGINEJAMAIS TOUCHÉECAMÉRA DE STATIONNEMENT ARRIÈREÉCRAN CENTRAL4 VITRES ÉLECTRIQUESINTÉRIEUR CUIRCLIMATISEUR CLIMATRONIC ENFONCTIONENCADREMENT EXTÉRIEUR INOXFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBREJANTES EN ALUMINIUMVOLANT RÉGLABLE EN HAUTEUR ET ENPROFONDEURCONNECTIVITÉ AUXCOMMANDE AU VOLANTFINITION CHROMÉEALARMEFIXATION ISOFIX5 CV. 4 CYLINDRESVISIBLE A BIZERTE, CONTACT ::::::::: 29521077KIA RIO PRESTIGE PREMIÈRE MAINEN TRÈS BON ÉTATVOITURE A L&amp;#039;ÉTAT ORIGINEJAMAIS TOUCHÉECAMÉRA DE STATIONNEMENT ARRIÈREÉCRAN CENTRAL4 VITRES ÉLECTRIQUESINTÉRIEUR CUIRCLIMATISEUR CLIMATRONIC ENFONCTIONENCADREMENT EXTÉRIEUR INOXFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBREJANTES EN ALUMINIUMVOLANT RÉGLABLE EN HAUTEUR ET ENPROFONDEURCONNECTIVITÉ AUXCOMMANDE AU VOLANTFINITION CHROMÉEALARMEFIXATION ISOFIX5 CV. 4 CYLINDRESVISIBLE A BIZERTE, Voir plus",18.02.2026,https://baniola.tn/details/26947/kia-rio-prestige-première-main-en-état-neuf.html
Suzuki dzair première main en excellent état,39500 DT,Suzuki,Swift,70000.0,1.2023,Essence,Manuelle,5.0,68.0,Traction,Citadine,,,TND Bizerte,,,,5.0,4.0,1197.0,"TÉLÉPHONE :::::::::: 29 195 223SUZUKI DZAIR PREMIÈRE MAINEN ÉTAT NEUFVOITURE TRÈS PROPRE INTÉRIEUR ETEXTÉRIEUR A ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&#039;ORIGINE4 VITRES ÉLECTRIQUESJANTES EN ALUMINIUMANTI BROUILLARDRÉTROVISEURS ÉLECTRIQUES ETRABATTABLESFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBRECONNECTIVITÉ AUXVISIBLE A BIZERTEVoir plus, TÉLÉPHONE :::::::::: 29 195 223SUZUKI DZAIR PREMIÈRE MAINEN ÉTAT NEUFVOITURE TRÈS PROPRE INTÉRIEUR ETEXTÉRIEUR A ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&#039;ORIGINE4 VITRES ÉLECTRIQUESJANTES EN ALUMINIUMANTI BROUILLARDRÉTROVISEURS ÉLECTRIQUES ETRABATTABLESFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBRECONNECTIVITÉ AUXVISIBLE A BIZERTEVoir plus, TÉLÉPHONE :::::::::: 29 195 223SUZUKI DZAIR PREMIÈRE MAINEN ÉTAT NEUFVOITURE TRÈS PROPRE INTÉRIEUR ETEXTÉRIEUR A ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&#039;ORIGINE4 VITRES ÉLECTRIQUESJANTES EN ALUMINIUMANTI BROUILLARDRÉTROVISEURS ÉLECTRIQUES ETRABATTABLESFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBRECONNECTIVITÉ AUXVISIBLE A BIZERTE, TÉLÉPHONE :::::::::: 29 195 223SUZUKI DZAIR PREMIÈRE MAINEN ÉTAT NEUFVOITURE TRÈS PROPRE INTÉRIEUR ETEXTÉRIEUR A ÉTAT ORIGINE JAMAISTOUCHÉE OU RETOUCHÉE PEINTURED&#039;ORIGINE4 VITRES ÉLECTRIQUESJANTES EN ALUMINIUMANTI BROUILLARDRÉTROVISEURS ÉLECTRIQUES ETRABATTABLESFERMETURE CENTRALISÉEBLOO TOUTH TÉLÉPHONE MAIN LIBRECONNECTIVITÉ AUXVISIBLE A BIZERTE, Voir plus",19.02.2026,https://baniola.tn/details/26959/suzuki-dzair-première-main-en-excellent-état.html
Suzuki celerio 2023 30500 km,34500 DT,Suzuki,Celerio,46000.0,1.2023,Essence,Manuelle,,68.0,Traction,Citadine,,,TND Nabeul,,,,5.0,5.0,998.0,"un medecin vend sa voiture suzuki celerio, 1ère main tt option peinture d,origine.tel:56177695.Voir plus, un medecin vend sa voiture suzuki celerio, 1ère main tt option peinture d,origine.tel:56177695.Voir plus, un medecin vend sa voiture suzuki celerio, 1ère main tt option peinture d,origine.tel:56177695., un medecin vend sa voiture suzuki celerio, 1ère main tt option peinture d,origine.tel:56177695., Voir plus",07.03.2026,https://baniola.tn/details/27106/suzuki-celerio-2023-30500-km.html
Kia rio 2010 240.000 km,24000 DT,Kia,RIO,240.0,1.201,Essence,Manuelle,,109.0,Traction,Citadine,,,TND Monastir,,,,5.0,5.0,1399.0,"Bonne occasion Voiture bien entretenueVoir plus, Bonne occasion Voiture bien entretenueVoir plus, Bonne occasion Voiture bien entretenue, Bonne occasion Voiture bien entretenue, Voir plus",05.03.2026,https://baniola.tn/details/27091/kia-rio-2010-240-000-km.html
Kia sportage 2021 130 km,50000 DT,Kia,SPORTAGE,130.0,1.2021,Essence,Automatique,,118.0,Traction,SUV,,,km Prix non spécifié Négociable Sousse,,,,5.0,5.0,1591.0,"Tout optionsPremière main entretien chez maisonKilométrage: 130km certifiésModèle fin 2020 série 218Énergie essenceClim autPuissance fiscale 8cvToit ouvrant panoramiqueRétroviseur électriques rabattablesCameraSiège électriqueAlarme d’origineDemarge à distanceSellerie cuire beigeBoîte automatiqueVoir plus, Tout optionsPremière main entretien chez maisonKilométrage: 130km certifiésModèle fin 2020 série 218Énergie essenceClim autPuissance fiscale 8cvToit ouvrant panoramiqueRétroviseur électriques rabattablesCameraSiège électriqueAlarme d’origineDemarge à distanceSellerie cuire beigeBoîte automatiqueVoir plus, Tout optionsPremière main entretien chez maisonKilométrage: 130km certifiésModèle fin 2020 série 218Énergie essenceClim autPuissance fiscale 8cvToit ouvrant panoramiqueRétroviseur électriques rabattablesCameraSiège électriqueAlarme d’origineDemarge à distanceSellerie cuire beigeBoîte automatique, Tout optionsPremière main entretien chez maisonKilométrage: 130km certifiésModèle fin 2020 série 218Énergie essenceClim autPuissance fiscale 8cvToit ouvrant panoramiqueRétroviseur électriques rabattablesCameraSiège électriqueAlarme d’origineDemarge à distanceSellerie cuire beigeBoîte automatique, Voir plus",05.03.2026,https://baniola.tn/details/27097/kia-sportage-2021-130-km.html
Renault scenic 2011 363000 km,28000 DT,Renault,Scenic,363000.0,1.2011,Diesel,Manuelle,6.0,110.0,Traction,Monospace,,,TND Négociable Bizerte,,,,5.0,5.0,1461.0,"A vendre senic 3 année 2011 toit panoramique 1,5dci modèle boseVoir plus, A vendre senic 3 année 2011 toit panoramique 1,5dci modèle boseVoir plus, A vendre senic 3 année 2011 toit panoramique 1,5dci modèle bose, A vendre senic 3 année 2011 toit panoramique 1,5dci modèle bose, Voir plus",05.03.2026,https://baniola.tn/details/27100/renault-scenic-2011-363000-km.html
Skoda kamiq 2021 107000 km,67000 DT,Skoda,Kamiq,107000.0,1.2021,Essence,Automatique,,95.0,Traction,SUV,,,TND Négociable Ariana,,,,5.0,5.0,999.0,"Je mets en vente ma voiture état neuf, bien entretenuVoir plus, Je mets en vente ma voiture état neuf, bien entretenuVoir plus, Je mets en vente ma voiture état neuf, bien entretenu, Je mets en vente ma voiture état neuf, bien entretenu, Voir plus",06.03.2026,https://baniola.tn/details/27105/skoda-kamiq-2021-107000-km.html
