Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
Fiat Punto,0 DT,Fiat,Punto,430000,01.1997,Essence,Manuelle,4,,,,Neuf,,Sousse,blanc,,,,,3.0,Fiat Punto Men 1997 Macha 4300003 cylindrée4 chevauxPuissance fiscale 4Viniyat 5alsin Visita oufat mars 2026Kol chay faha en marche w Kol chay faha mrigel w Mafaha 7ata défaut Karhba nthifa 3ala 5er Neuf Essence Disponible à Sousse Msaken Num 27009815,2026-05-11,https://www.cava.tn/voitures/fiat-punto-991369
kia rio coupé,30 DT,Kia,Rio,132000,01.2011,Essence,Manuelle,6,,,,Occasion,,Sfax,Autres,,,,,1.4,Année 2011132000km6ch En bonne étattel :23624920,2026-05-14,https://www.cava.tn/voitures/kia-rio-coup-991733
Citroën C1 en excellent état,0 DT,Citroen,C1,134000,01.2012,Essence,Manuelle,4,,,,Occasion,,Ariana,blanc,,,,,1.0,"À vendre Citroën C1 en excellent état, 4cv, 3 cylindres, DMC juillet 2012, Tous les vitres d&#39;origine, deux vitres électriques,voiture très propre intérieur comme extérieur, très économique, moteur Toyota Yaris, climatiseur en marche glace, double clés d&#39;origine,deux pneus neufs, batterie Neuf,Visible à Borj Louzir, cité Hedi nouira, Ariana Contact. 98486999",2026-05-14,https://www.cava.tn/voitures/citron-c1-en-excellent-tat-991719
🚘 Mercedes ML 2013 Diesel 🚘 🔁 on accepte l échange des voitures,1 DT,Mercedes,Classe M,208000,01.2013,Diesel,Automatique,12,,,,Occasion,,Tunis,noir,,,,,2.2,"&#x1f698; Mercedes ML 2013 Diesel &#x1f698; &#x1f501; on accepte l échange des voitures <br />&#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact &#x1f449; 53 100 007 / 29130012 <br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #ÉchangeVoiture #VoitureEssence #SUVTunisie #BonneAffaire #PremièreMain #amarokv6 #amarokoffroad #amarok",2026-05-14,https://www.cava.tn/voitures/-mercedes-ml-2013-diesel-on-accepte-l-change-des-voitures-991710
🇩🇪Audi Q3 SPORTBACK S-Line45 TFSIe 2024🇩🇪 ⛔️ on accepte l échange des voitures,1 DT,Audi,Audi Q3,36000,01.2024,Essence,Automatique,8,,,,Occasion,,Tunis,gris,,,,,1.4,"&#x1f1e9;&#x1f1ea;Audi Q3 SPORTBACK S-Line45 TFSIe 2024&#x1f1e9;&#x1f1ea; ⛔️ on accepte l échange des voitures ⛔️ 29130012<br />▶ importé d allemagne ◀ unique▶ Modele : 2024▶ Toit Panoramique ▶ Puissance fiscale : 8cv / 245 cvdin▶ Energie : Essence hybrid 34.000km&#x1f4f7; radar et camera de recule ..... &#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012<br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre",2026-05-14,https://www.cava.tn/voitures/audi-q3-sportback-s-line45-tfsie-2024-on-accepte-l-change-des-voitures-991708
MINI One 2021 4portes boite auto 🚘 🔁 on accepte l échange des voitures,1 DT,Mini,Mini,70000,01.2023,Essence,Automatique,8,,,,Occasion,,Tunis,orange,,,,,1.5,"&#x1f698; MINI One 2021 4portes boite auto &#x1f698; &#x1f501; on accepte l échange des voitures <br />&#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012<br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #ÉchangeVoiture #VoitureEssence #SUVTunisie #BonneAffaire #PremièreMain",2026-05-14,https://www.cava.tn/voitures/mini-one-2021-4portes-boite-auto-on-accepte-l-change-des-voitures-991707
Mercedes C200 2020/08 60.000km🇩🇪 ⛔️ on accepte l échange des voitures,1 DT,Mercedes,Classe C,59000,01.2020,Essence,Automatique,10,,,,Occasion,,Tunis,noir,,,,,2.0,"&#x1f1e9;&#x1f1ea;Mercedes C200 2020/08 60.000km&#x1f1e9;&#x1f1ea; ⛔️ on accepte l échange des voitures ⛔️ 29130012<br />▶ importé d allemagne ◀ essence▶ Modele : 2020/08▶ Toit Panoramique ouvrant full led ▶ Puissance fiscale : 10cv▶ Kilométrage 58.000km&#x1f4f7; radar et camera de recule ..... &#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012 / 53 100 007 <br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#mercedesbenz #A180 #mercedesa180 #Kia #sportage #toyota #toyotahilux #audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre",2026-05-14,https://www.cava.tn/voitures/mercedes-c200-202008-60000km-on-accepte-l-change-des-voitures-991706
fiat fiorino 2017,21 DT,Fiat,Fiorino,163000,01.2017,Essence,Manuelle,5,,,,Occasion,,Ben Arous,bleu,,,,,1.3,"<p><span style=""background-color:rgb( 255 , 255 , 255 );color:rgb( 8 , 8 , 9 )"">&#x1f697; Fiat Fiorino&#x1f697; en excellent état 163.000Km ⛔ Année 2017 ✅️ Prix 21 négociable ✅️ Tél : 29.402.205</span></p>",2026-05-14,https://www.cava.tn/voitures/fiat-fiorino-2017-991704
Volkswagen Golf8 essence 2022 🔁 on accepte l échange des voitures,1 DT,Volkswagen,Golf,130000,01.2023,Essence,Manuelle,6,,,,Occasion,,Tunis,noir,,,,,1.0,"&#x1f698;Volkswagen Golf8 essence 2022 &#x1f698; &#x1f501; on accepte l échange des voitures <br />&#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012<br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #ÉchangeVoiture #VoitureEssence #SUVTunisie #BonneAffaire #PremièreMain",2026-05-14,https://www.cava.tn/voitures/volkswagen-golf8-essence-2022-on-accepte-l-change-des-voitures-991703
🚘Forthing 2025 ⛔️20.000MD⛔️ et le reste transfer dossier leasing,1 DT,Autres,Autres,12000,01.2025,Essence,Automatique,9,,,,Neuf,,Tunis,gris,,,,,1.8,"&#x1f698;Forthing 2025 ⛔️20.000MD⛔️ et le reste transfer dossier leasing &#x1f698; &#x1f501; on accepte l échange des voitures Seulement 12.000km <br />&#x1f4cd; AFFAIRE AUTO, Route de la Marsa (GP9), à côté de la BH Banque – Sidi Daoud&#x1f4de; Contact :&#x1f449; 29 130 012<br />&#x1f525; Véhicule propre, bien entretenu et prêt à rouler !&#x1f4f2; Appelez ou passez en agence pour un essai gratuit !<br />&#x1f4cc; Disponible immédiatement !#audi #audisport #AudiQ3 #audia3sportback &#x1f4e2; #toyota #toyotahilux #ToyotaRAV4 #SUVTunisie #ToyotaGazooRacing #peugeot #208gtline #208active #208allure #HAVAL #HavalH6 #VoitureOccasion #Tunis #VenteVoiture #AutoTunisie #AffaireAuto #TunisCar #VoitureAVendre #ÉchangeVoiture #VoitureEssence #SUVTunisie #BonneAffaire #PremièreMain",2026-05-14,https://www.cava.tn/voitures/forthing-2025-20000md-et-le-reste-transfer-dossier-leasing-991702
