Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
PEUGEOT PARTNER UTILITAIRE 2 PLACES,38000 DT,Peugeot,Partner Utilitaire 2 Places,119500,6.2012,Diesel,Manuelle,,,,,,,Tunis,Argent,Gris,,,3,,,14.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260514173046
PEUGEOT PARTNER UTILITAIRE 2 PLACES,38000 DT,Peugeot,Partner Utilitaire 2 Places,119500,6.2012,Diesel,Manuelle,,,,,,,Tunis,Argent,Gris,,,3,,,14.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260514172547
FORD FIESTA 4 CYLINDRE,28000 DT,Ford,Fiesta 4 Cylindre,211000,11.2012,Essence,Manuelle,,,,,,,Manouba,Blanc,,,,4,,,13.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260513205122
KIA RIO COUPÉ GT LINE,60000 DT,Kia,Rio Coupé Gt Line,100000,7.2021,Essence,Manuelle,,,,,,,Ariana,Gris,Gris,,,5,,"Caméra de recul, Climatisation",10.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260510154416
KIA RIO COUPÉ GT LINE,60000 DT,Kia,Rio Coupé Gt Line,100000,7.2021,Essence,Manuelle,,,,,,,Ariana,Gris,Gris,,,5,,"Caméra de recul, Climatisation",10.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260510154032
CITROEN AX,4300 DT,Citroen,Ax,,3.1993,Essence,Manuelle,,,,,,,Sousse,Rouge,Noir,,,4,,,07.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260507192118
NISSAN NAVARA D22,36000 DT,Nissan,Navara D22,400000,7.2006,Diesel,Manuelle,,,,,,,Bizerte,Bleu,Bleu,,,4,,,06.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260506163621
HAVAL H6,50000 DT,Haval,H6,213000,3.2017,Essence,Automatique,,,,,,,Sousse,Bleu,Gris,,,5,,,06.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260506162037
PEUGEOT 206 SEDAN,16500 DT,Peugeot,206 Sedan,,1.2008,Essence,Manuelle,,,,,,,Beja,Noir,Noir,,,4,,Climatisation,05.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260505233629
CITROEN C4,27000 DT,Citroen,C4,300000,12.2011,Essence,Manuelle,,,,,,,Tunis,Beige,Gris,,,5,,,05.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260505201856
CITROEN C4,27000 DT,Citroen,C4,300000,12.2011,Essence,Manuelle,,,,,,,Tunis,Beige,Gris,,,5,,,05.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260505201416
HYUNDAI GRAND I10,27000 DT,Hyundai,Grand I10,189000,7.2014,Essence,Manuelle,,,,,,,Tunis,Blanc,Orange,,,5,,,05.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260505194752
NISSAN QASHQAI TEKNA,38500 DT,Nissan,Qashqai Tekna,313000,9.2011,Diesel,Manuelle,,,,,,,Sousse,Blanc,Noir,cuir,,5,,"ABS, Airbags frontaux, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, ESP, Régulateur de vitesse, Toit panoramique, Vitres électriques",05.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260505124827
KIA PICANTO 3 GENERATION,37000 DT,Kia,Picanto 3 Generation,14360,1.2022,Essence,Manuelle,,,,,,,Mahdia,Gris,Noir,,,5,,,04.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260504171441
VOLKSWAGEN POLO POLO 7 BLUEMOTION,37000 DT,Volkswagen,Polo Polo 7 Bluemotion,209000,10.2012,Diesel,Manuelle,,,,,,,Sousse,Noir,Blanc,,,5,,"Bluetooth, Climatisation, Régulateur de vitesse, Vitres électriques",04.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260504142523
KIA PICANTO,37000 DT,Kia,Picanto,57600,2.2019,Essence,Manuelle,,,,,,,Ben Arous,Beige,Noir,,,5,,,03.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260503130738
PEUGEOT 208,41000 DT,Peugeot,208,57872,10.2022,Essence,Manuelle,,,,,,,Tunis,Noir,Noir,,,5,,,02.05.2026,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=260502211141
